player,player_clean,team,dist_m,dist_km
Hugo Lloris,Lloris,France,1936.3205681579323,1.94
Dayotchanculle Upamecano,Upamecano,France,1827.6603352868121,1.83
Enzo Fernandez,Enzo,Argentina,1818.0381499887487,1.82
Raphaël Varane,Varane,France,1678.7733469568593,1.68
Cristian Gabriel Romero,Romero,Argentina,1667.865061123628,1.67
Lionel Andrés Messi Cuccittini,Messi,Argentina,1565.2874738847158,1.57
Nicolás Hernán Otamendi,Otamendi,Argentina,1516.1306934184013,1.52
Aurélien Djani Tchouaméni,Tchouaméni,France,1476.0971361072206,1.48
Rodrigo Javier De Paul,De Paul,Argentina,1333.3354698532044,1.33
Damián Emiliano Martínez,Emi Martinez,Argentina,1303.5271518461102,1.3
Jules Koundé,Koundé,France,1285.798586282308,1.29
Nahuel Molina Lucero,Molina,Argentina,923.5764215665499,0.92
Alexis Mac Allister,Mac Allister,Argentina,920.8101540967832,0.92
Theo Bernard François Hernández,Theo Hernandez,France,904.4165333953986,0.9
Adrien Rabiot,Rabiot,France,859.1610922161738,0.86
Nicolás Alejandro Tagliafico,Tagliafico,Argentina,851.3054509612573,0.85
Ángel Fabián Di María Hernández,Di Maria,Argentina,779.8648062833437,0.78
Kylian Mbappé Lottin,Mbappé,France,690.031693419572,0.69
Marcos Javier Acuña,Acuña,Argentina,611.4030705360008,0.61
Antoine Griezmann,Griezmann,France,598.2745696509672,0.6
Julián Álvarez,Alvarez,Argentina,513.4156767143234,0.51
Marcus Thuram,Thuram,France,457.50414962681094,0.46
Kingsley Coman,Coman,France,452.6201149902276,0.45
Eduardo Camavinga,Camavinga,France,436.66724320273147,0.44
Leandro Daniel Paredes,Paredes,Argentina,304.19319861367666,0.3
Randal Kolo Muani,Kolo Muani,France,288.7401747378321,0.29
Youssouf Fofana,Fofana,France,267.70567716795466,0.27
Gonzalo Ariel Montiel,Montiel,Argentina,227.4582665737919,0.23
Ousmane Dembélé,Dembélé,France,219.15485724207295,0.22
Olivier Giroud,Giroud,France,84.33116677598942,0.08
Lautaro Javier Martínez,Lautaro,Argentina,79.05345985231442,0.08
Ibrahima Konaté,Konaté,France,50.18980665804603,0.05
Paulo Bruno Exequiel Dybala,Dybala,Argentina,41.45443538240155,0.04
Germán Alejandro Pezzella,Germán Alejandro Pezzella,Argentina,16.38003841927314,0.02
