player,team,volume_jeu_km,tirs,tirs_cadres,buts,xg_total,precision,dribbles_tentes,dribbles_reussis,taux_reussite,passes_tentees,passes_reussies,taux_passes
Lloris,France,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,23,56.1
Upamecano,France,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,51,79.7
Enzo,Argentina,1.82,2.0,1.0,0.0,0.072,50.0,1.0,1.0,100.0,94,79,84.0
Varane,France,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,55,90.2
Romero,Argentina,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,60,84.5
Messi,Argentina,1.57,5.0,4.0,2.0,1.455,80.0,3.0,0.0,0.0,60,49,81.7
Otamendi,Argentina,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,69,92.0
Tchouaméni,France,1.48,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,69,56,81.2
De Paul,Argentina,1.33,2.0,1.0,0.0,0.103,50.0,4.0,1.0,25.0,68,57,83.8
E. Martinez,Argentina,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,18,54.5
Koundé,France,1.29,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,67,52,77.6
Molina,Argentina,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,39,69.6
Mac Allister,Argentina,0.92,3.0,1.0,0.0,0.054,33.3,2.0,2.0,100.0,52,45,86.5
T. Hernandez,France,0.9,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,49,38,77.6
Rabiot,France,0.86,1.0,1.0,0.0,0.093,100.0,0.0,0.0,0.0,51,43,84.3
Tagliafico,Argentina,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,44,78.6
Di María,Argentina,0.78,2.0,1.0,1.0,0.41,50.0,8.0,5.0,62.5,29,25,86.2
Mbappé,France,0.69,6.0,3.0,3.0,1.783,50.0,11.0,6.0,54.5,27,19,70.4
Acuna,Argentina,0.61,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,28,19,67.9
Griezmann,France,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30,21,70.0
J. Álvarez,Argentina,0.51,1.0,1.0,0.0,0.06,100.0,0.0,0.0,0.0,32,26,81.2
Thuram,France,0.46,0.0,0.0,0.0,0.0,0.0,4.0,2.0,50.0,22,15,68.2
Coman,France,0.45,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,15,5,33.3
Camavinga,France,0.44,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,24,21,87.5
Paredes,Argentina,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,15,100.0
Kolo Muani,France,0.29,2.0,1.0,0.0,0.374,50.0,4.0,1.0,25.0,15,11,73.3
Fofana,France,0.27,1.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,11,9,81.8
Montiel,Argentina,0.23,1.0,0.0,0.0,0.021,0.0,1.0,0.0,0.0,13,8,61.5
Dembélé,France,0.22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13,9,69.2
Giroud,France,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5,55.6
L. Martínez,Argentina,0.08,4.0,1.0,0.0,0.584,25.0,0.0,0.0,0.0,7,5,71.4
Konaté,France,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,50.0
Dybala,Argentina,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,33.3
Germán Alejandro Pezzella,Argentina,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,100.0
