player,player_clean,team,passes_tentees,passes_reussies,taux_passes_pct
Adrien Rabiot,Rabiot,France,51,43,84.3
Alexis Mac Allister,Mac Allister,Argentina,52,45,86.5
Antoine Griezmann,Griezmann,France,30,21,70.0
Aurélien Djani Tchouaméni,Tchouaméni,France,69,56,81.2
Cristian Gabriel Romero,Romero,Argentina,71,60,84.5
Damián Emiliano Martínez,Emi Martinez,Argentina,33,18,54.5
Dayotchanculle Upamecano,Upamecano,France,64,51,79.7
Eduardo Camavinga,Camavinga,France,24,21,87.5
Enzo Fernandez,Enzo,Argentina,94,79,84.0
Germán Alejandro Pezzella,Germán Alejandro Pezzella,Argentina,1,1,100.0
Gonzalo Ariel Montiel,Montiel,Argentina,13,8,61.5
Hugo Lloris,Lloris,France,41,23,56.1
Ibrahima Konaté,Konaté,France,2,1,50.0
Jules Koundé,Koundé,France,67,52,77.6
Julián Álvarez,Alvarez,Argentina,32,26,81.2
Kingsley Coman,Coman,France,15,5,33.3
Kylian Mbappé Lottin,Mbappé,France,27,19,70.4
Lautaro Javier Martínez,Lautaro,Argentina,7,5,71.4
Leandro Daniel Paredes,Paredes,Argentina,15,15,100.0
Lionel Andrés Messi Cuccittini,Messi,Argentina,60,49,81.7
Marcos Javier Acuña,Acuña,Argentina,28,19,67.9
Marcus Thuram,Thuram,France,22,15,68.2
Nahuel Molina Lucero,Molina,Argentina,56,39,69.6
Nicolás Alejandro Tagliafico,Tagliafico,Argentina,56,44,78.6
Nicolás Hernán Otamendi,Otamendi,Argentina,75,69,92.0
Olivier Giroud,Giroud,France,9,5,55.6
Ousmane Dembélé,Dembélé,France,13,9,69.2
Paulo Bruno Exequiel Dybala,Dybala,Argentina,3,1,33.3
Randal Kolo Muani,Kolo Muani,France,15,11,73.3
Raphaël Varane,Varane,France,61,55,90.2
Rodrigo Javier De Paul,De Paul,Argentina,68,57,83.8
Theo Bernard François Hernández,Theo Hernandez,France,49,38,77.6
Youssouf Fofana,Fofana,France,11,9,81.8
Ángel Fabián Di María Hernández,Di Maria,Argentina,29,25,86.2
